bb,iaca.hsw,llvm-mca.13-r+a.hsw,llvm-mca.9-r+a.hsw,llvm-mca.8-r+a.hsw,uica.hsw,osaca.0.4.6.hsw,ithemal.bhive.hsw,difftune.artifact.hsw
83774000c4627958f0c4e2199ef36a2a339e80000000,5.0,5.04,9.03,5.04,6.0,2.0,6.57243469238,4.03
4c0f438580000000660f3a21f52ac5edeb4d40c4c291abe2c462c9985540,5.0,7.03,7.03,5.11,5.0,5.0,2.22729446411,5.07
c5a858674066450fc5f42ac4e281a85e4083f02a440f47a680000000,4.95,8.05,8.05,5.1,5.0,5.0,7.13397338867,1.57
c5ed755e40c5c167e749c1fb00c5cd624d40c4c23500da,2.78,3.1,3.1,3.1,3.0,3.0,1.5738706970199998,5.07
83a6800000000066ffb780000000c46225babd80000000660ff9e6c462e1bab680000000,5.0,7.04,14.03,7.04,6.0,6.0,6.82775878906,9.02
66440f599e80000000c4427930cd660ffde2c4c159def6c4416454c4,5.0,5.09,5.09,5.09,5.0,5.0,3.42755615234,3.05
c4430941d22a480fbaa7800000000066480f7ec8c462353956404983d600,1.95,3.16,3.16,3.16,5.0,2.13,7.72375854492,4.05
119680000000660f3a0fd42a660fe6858000000049c1fd2ac56d14e2,2.53,4.11,9.06,4.11,7.0,7.0,6.4679479980500005,3.06
c4c249a9d5c4620d9e7f40c57d598580000000c57ee6e466410f7ed0,5.24,5.11,5.11,5.11,5.51,5.0,5.49992797852,4.06
4439c166440f5ee9664183ed00c442fbf7f6c4c11d71d32a,13.98,20.03,20.03,20.03,10.0,14.0,10.0312542725,5.06
c4620939e7c462b5a8cfc57d288d8000000066440f6bc62400,1.2,1.38,1.38,1.38,2.0,1.19,7.827893066410001,3.07
66440f48a680000000660f38284640c441715cde480fba67402ac4c15155dc,4.96,7.04,7.04,5.1,5.0,5.0,8.161844482420001,5.06
c17f4000c4427d79df6a2ac4c15956ccc5c956bd80000000,2.81,3.1,9.04,3.1,6.0,3.0,6.1732171630899995,4.06
660f38206f40c5356a9d80000000c5fc106f40c4e2999f9e80000000f20f12a680000000,5.0,5.1,5.1,5.1,5.0,2.5,8.74084472656,3.05
c463f916d02a66440f6f9d80000000c4e2b1ab7740c462b1bbeb0faf4e40,4.95,5.09,5.09,5.09,5.0,5.0,3.97145965576,3.06
4183f42a66450fdbe96683e02af34d0fbcccc442b8f2f0,1.26,1.31,1.31,1.31,3.0,1.25,6.10087219238,5.06
c4e21d9c96800000004931d380bf80000000006644034d40c4c11965c6,5.0,5.1,5.1,5.1,5.0,1.5,4.37285369873,4.06
660f67a5800000006683af8000000000664183e02ac5b9564f40035540,1.95,3.09,7.1,3.09,6.0,6.0,6.82137451172,6.05
c4e255a86540660f71f52ac4e2b9f79580000000f2450f58edc5a573db2a,5.0,5.1,5.1,5.1,5.0,5.0,6.591690063480001,3.07
0f597540480f4cd166440f3a0b66402a042ac4e3612265402a,5.0,6.1,5.09,5.09,5.0,5.0,8.59510559082,5.06
c5fd73fd2a6641c1ea2ac519c2b5800000002ac4414969d366398e80000000,1.76,2.1,2.1,2.1,2.0,2.0,4.62819702148,4.06
66410f44cdc4e221a9c8c52059be80000000c4e2b9b8e8f2440f58af80000000,5.0,5.04,5.04,5.04,5.0,8.0,4.34286590576,5.04
f20f598d8000000066440f595640f20f118580000000c462f9f7af8000000048ff8780000000,5.0,5.09,8.14,5.1,6.24,6.0,7.3575451660199995,6.13
66440fe4a580000000440fbfb780000000480fbae900450f16fa4c238d80000000,5.0,5.09,5.09,5.09,5.0,5.0,4.05517456055,4.05
